Channel	Time	Experimental Counts	Theoretical Counts	Chi2
264	2.50E-05	0		
265	2.51E-05	0		
266	2.52E-05	0		
267	2.53E-05	0		
268	2.54E-05	0		
269	2.55E-05	0		
270	2.56E-05	0		
271	2.57E-05	0		
272	2.58E-05	0		
273	2.59E-05	0		
274	2.60E-05	0		
275	2.61E-05	0		
276	2.62E-05	0		
277	2.63E-05	0		
278	2.64E-05	0		
279	2.65E-05	0		
280	2.65E-05	0		
281	2.66E-05	0		
282	2.67E-05	0		
283	2.68E-05	0		
284	2.69E-05	0		
285	2.70E-05	0		
286	2.71E-05	0		
287	2.72E-05	0		
288	2.73E-05	0		
289	2.74E-05	0		
290	2.75E-05	0		
291	2.76E-05	0		
292	2.77E-05	0		
293	2.78E-05	0		
294	2.79E-05	0		
295	2.80E-05	0		
296	2.81E-05	0		
297	2.82E-05	0		
298	2.83E-05	0		
299	2.83E-05	0		
300	2.84E-05	0		
301	2.85E-05	0		
302	2.86E-05	0		
303	2.87E-05	0		
304	2.88E-05	0		
305	2.89E-05	0		
306	2.90E-05	0		
307	2.91E-05	0		
308	2.92E-05	0		
309	2.93E-05	0		
310	2.94E-05	0		
311	2.95E-05	0		
312	2.96E-05	0		
313	2.97E-05	0		
314	2.98E-05	0		
315	2.99E-05	0		
316	3.00E-05	0		
317	3.01E-05	0		
318	3.02E-05	0		
319	3.02E-05	0		
320	3.03E-05	0		
321	3.04E-05	0		
322	3.05E-05	0		
323	3.06E-05	0		
324	3.07E-05	0		
325	3.08E-05	0		
326	3.09E-05	0		
327	3.10E-05	0		
328	3.11E-05	0		
329	3.12E-05	0		
330	3.13E-05	0		
331	3.14E-05	0		
332	3.15E-05	0		
333	3.16E-05	0		
334	3.17E-05	0		
335	3.18E-05	0		
336	3.19E-05	0		
337	3.20E-05	0		
338	3.20E-05	0		
339	3.21E-05	0		
340	3.22E-05	0		
341	3.23E-05	0		
342	3.24E-05	0		
343	3.25E-05	0		
344	3.26E-05	0		
345	3.27E-05	0		
346	3.28E-05	0		
347	3.29E-05	0		
348	3.30E-05	0		
349	3.31E-05	0		
350	3.32E-05	0		
351	3.33E-05	0		
352	3.34E-05	0		
353	3.35E-05	0		
354	3.36E-05	0		
355	3.37E-05	0		
356	3.38E-05	0		
357	3.38E-05	0		
358	3.39E-05	1		
359	3.40E-05	0		
360	3.41E-05	0		
361	3.42E-05	0		
362	3.43E-05	0		
363	3.44E-05	0		
364	3.45E-05	0		
365	3.46E-05	0		
366	3.47E-05	0		
367	3.48E-05	0		
368	3.49E-05	0		
369	3.50E-05	0		
370	3.51E-05	0		
371	3.52E-05	0		
372	3.53E-05	0		
373	3.54E-05	0		
374	3.55E-05	0		
375	3.56E-05	0		
376	3.56E-05	0		
377	3.57E-05	0		
378	3.58E-05	0		
379	3.59E-05	0		
380	3.60E-05	0		
381	3.61E-05	0		
382	3.62E-05	0		
383	3.63E-05	0		
384	3.64E-05	0		
385	3.65E-05	0		
386	3.66E-05	0		
387	3.67E-05	0		
388	3.68E-05	0		
389	3.69E-05	0		
390	3.70E-05	0		
391	3.71E-05	0		
392	3.72E-05	0		
393	3.73E-05	0		
394	3.74E-05	0		
395	3.75E-05	0		
396	3.75E-05	0		
397	3.76E-05	0		
398	3.77E-05	0		
399	3.78E-05	0		
400	3.79E-05	0		
401	3.80E-05	0		
402	3.81E-05	0		
403	3.82E-05	0		
404	3.83E-05	0		
405	3.84E-05	0		
406	3.85E-05	0		
407	3.86E-05	0		
408	3.87E-05	0		
409	3.88E-05	0		
410	3.89E-05	0		
411	3.90E-05	0		
412	3.91E-05	0		
413	3.92E-05	0		
414	3.93E-05	0		
415	3.93E-05	0		
416	3.94E-05	0		
417	3.95E-05	0		
418	3.96E-05	0		
419	3.97E-05	0		
420	3.98E-05	0		
421	3.99E-05	0		
422	4.00E-05	0		
423	4.01E-05	0		
424	4.02E-05	0		
425	4.03E-05	0		
426	4.04E-05	0		
427	4.05E-05	0		
428	4.06E-05	0		
429	4.07E-05	0		
430	4.08E-05	0		
431	4.09E-05	0		
432	4.10E-05	0		
433	4.11E-05	0		
434	4.11E-05	0		
435	4.12E-05	0		
436	4.13E-05	0		
437	4.14E-05	0		
438	4.15E-05	0		
439	4.16E-05	0		
440	4.17E-05	0		
441	4.18E-05	0		
442	4.19E-05	0		
443	4.20E-05	0		
444	4.21E-05	0		
445	4.22E-05	0		
446	4.23E-05	0		
447	4.24E-05	0		
448	4.25E-05	0		
449	4.26E-05	0		
450	4.27E-05	0		
451	4.28E-05	0		
452	4.29E-05	0		
453	4.30E-05	0		
454	4.30E-05	0		
455	4.31E-05	0		
456	4.32E-05	0		
457	4.33E-05	0		
458	4.34E-05	0		
459	4.35E-05	0		
460	4.36E-05	0		
461	4.37E-05	0		
462	4.38E-05	0		
463	4.39E-05	0		
464	4.40E-05	0		
465	4.41E-05	0		
466	4.42E-05	0		
467	4.43E-05	0		
468	4.44E-05	0		
469	4.45E-05	0		
470	4.46E-05	0		
471	4.47E-05	0		
472	4.48E-05	0		
473	4.48E-05	0		
474	4.49E-05	0		
475	4.50E-05	0		
476	4.51E-05	0		
477	4.52E-05	0		
478	4.53E-05	0		
479	4.54E-05	0		
480	4.55E-05	0		
481	4.56E-05	0		
482	4.57E-05	0		
483	4.58E-05	0		
484	4.59E-05	0		
485	4.60E-05	0		
486	4.61E-05	0		
487	4.62E-05	0		
488	4.63E-05	0		
489	4.64E-05	0		
490	4.65E-05	0		
491	4.66E-05	0		
492	4.66E-05	0		
493	4.67E-05	0		
494	4.68E-05	0		
495	4.69E-05	0		
496	4.70E-05	0		
497	4.71E-05	0		
498	4.72E-05	0		
499	4.73E-05	0		
500	4.74E-05	0		
501	4.75E-05	0		
502	4.76E-05	0		
503	4.77E-05	0		
504	4.78E-05	0		
505	4.79E-05	0		
506	4.80E-05	0		
507	4.81E-05	0		
508	4.82E-05	0		
509	4.83E-05	0		
510	4.84E-05	0		
511	4.84E-05	0		
